Index,Title,Release-date,Gross,Genre,Director,Distributed-by,imdb-url
0,How the Grinch Stole Christmas,2000,"$260,044,825 ",family,Ron Howard,Universal Pictures,https://www.imdb.com/title/tt0170016/
1,Harry Potter and the Sorcerer's Stone,2001,"$317,575,550 ",fantasy,Chris Columbus,Warner Bros. Pictures,https://www.imdb.com/title/tt0241527/
2,Spider-Man,2002,"$403,706,375 ",super-hero,Sam Raimi,"	Sony Pictures Releasing",https://www.imdb.com/title/tt0145487/
3,The Lord of the Rings: The Return of the King,2003,"$377,027,325 ",fantasy,Peter Jackson,New Line Cinema,https://www.imdb.com/title/tt7631058/
4,Shrek 2,2004,"$441,226,247 ",family,"Andrew Adamson, Kelly Asbury and Conrad Vernon",DreamWorks Pictures,https://www.imdb.com/title/tt0298148/
5,Star Wars: Episode III - Revenge of the Sith,2005,"$380,270,577 ",sci-fi,George Lucas,20th Century Fox,https://www.imdb.com/title/tt0120915/
6,Pirates of the Caribbean: Dead Man's Chest,2006,"$423,315,812 ",fantasy,Gore Verbinski,"	Buena Vista Pictures",https://www.imdb.com/title/tt0383574/
7,Spider-Man 3,2007,"$336,530,303 ",super-hero,Sam Raimi,"	Sony Pictures Releasing",https://www.imdb.com/title/tt0413300/
8,The Dark Knight,2008,"$533,345,358 ",super-hero,Christopher Nolan,Warner Bros. Pictures,https://www.imdb.com/title/tt0468569/
9,Avatar,2009,"$749,766,139 ",sci-fi,James Cameron,20th Century Fox,https://www.imdb.com/title/tt0499549/
10,Toy Story 3,2010,"$415,004,880 ",family,"	Lee Unkrich","	Walt Disney Studios",https://www.imdb.com/title/tt0435761/
11,Harry Potter and the Deathly Hallows: Part 2,2011,"$381,011,219 ",fantasy,"	David Yates",Warner Bros. Pictures,https://www.imdb.com/title/tt1201607/
12,The Avengers,2012,"$623,357,910 ",super-hero,Joss Whedon,"	Walt Disney Studios",https://www.imdb.com/title/tt0848228/
13,The Hunger Games: Catching Fire,2013,"$424,668,047 ",sci-fi,Francis Lawrence,Lionsgate,https://www.imdb.com/title/tt1951264/
14,American Sniper,2014,"$350,126,372 ",drama,Clint Eastwood,Warner Bros. Pictures,https://www.imdb.com/title/tt2179136/
15,Star Wars: Episode VII - The Force Awakens,2015,"$936,662,225 ",sci-fi,"	J. J. Abrams","	Walt Disney Studios",https://www.imdb.com/title/tt2488496/
16,Rogue One: A Star Wars Story,2016,"$532,177,324 ",sci-fi,"	Gareth Edwards","	Walt Disney Studios",https://www.imdb.com/title/tt3748528/
17,Star Wars: Episode VIII - The Last Jedi,2017,"$620,181,382 ",sci-fi,Rian Johnson,"	Walt Disney Studios",https://www.imdb.com/title/tt2527336/
18,Black Panther,2018,"$700,059,566 ",super-hero,Ryan Coogler,Walt Disney Studios,https://www.imdb.com/title/tt1825683/
19,Avengers: Endgame,2019,"$858,373,000 ",super-hero,Anthony Russo and Joseph Russo,"	Walt Disney Studios",https://www.imdb.com/title/tt4154796/
20,Bad Boys for Life,2020,"$204,417,855 ",action,Adil & Bilall,Sony Pictures Releasing,https://www.imdb.com/title/tt1502397/
21,Spider-Man: No Way Home,2021,"$760,988,686 ",super-hero,Jon Watts,"	Walt Disney Studios",https://www.imdb.com/title/tt10872600/
22,The Batman,2022,"$311,451,314 ",super-hero,Matt Reeves,Warner Bros. Pictures,https://www.imdb.com/title/tt1877830/
